viral_load_matrix	Simulated_populations/seir_viral_loads_swab.viral_loads.npz
savepath	designs/individual
start_time	0
end_time	356
LOD	100
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
Time: 73; Case frequency: 0.00577; Efficiency: 1.00; Sensitivity: 0.8455
Time: 74; Case frequency: 0.00630; Efficiency: 1.00; Sensitivity: 0.8459
Time: 75; Case frequency: 0.00687; Efficiency: 1.00; Sensitivity: 0.8460
Time: 76; Case frequency: 0.00748; Efficiency: 1.00; Sensitivity: 0.8479
Time: 77; Case frequency: 0.00814; Efficiency: 1.00; Sensitivity: 0.8468
Time: 78; Case frequency: 0.00889; Efficiency: 1.00; Sensitivity: 0.8458
Time: 79; Case frequency: 0.00969; Efficiency: 1.00; Sensitivity: 0.8470
Time: 80; Case frequency: 0.01056; Efficiency: 1.00; Sensitivity: 0.8484
Time: 81; Case frequency: 0.01149; Efficiency: 1.00; Sensitivity: 0.8484
Time: 82; Case frequency: 0.01250; Efficiency: 1.00; Sensitivity: 0.8475
Time: 83; Case frequency: 0.01362; Efficiency: 1.00; Sensitivity: 0.8466
Time: 84; Case frequency: 0.01484; Efficiency: 1.00; Sensitivity: 0.8464
Time: 85; Case frequency: 0.01615; Efficiency: 1.00; Sensitivity: 0.8468
Time: 86; Case frequency: 0.01759; Efficiency: 1.00; Sensitivity: 0.8471
Time: 87; Case frequency: 0.01912; Efficiency: 1.00; Sensitivity: 0.8480
Time: 88; Case frequency: 0.02080; Efficiency: 1.00; Sensitivity: 0.8485
Time: 89; Case frequency: 0.02262; Efficiency: 1.00; Sensitivity: 0.8483
Time: 90; Case frequency: 0.02459; Efficiency: 1.00; Sensitivity: 0.8475
Time: 91; Case frequency: 0.02670; Efficiency: 1.00; Sensitivity: 0.8474
Time: 92; Case frequency: 0.02900; Efficiency: 1.00; Sensitivity: 0.8465
Time: 93; Case frequency: 0.03150; Efficiency: 1.00; Sensitivity: 0.8464
Time: 94; Case frequency: 0.03418; Efficiency: 1.00; Sensitivity: 0.8463
Time: 95; Case frequency: 0.03707; Efficiency: 1.00; Sensitivity: 0.8464
Time: 96; Case frequency: 0.04024; Efficiency: 1.00; Sensitivity: 0.8455
Time: 97; Case frequency: 0.04361; Efficiency: 1.00; Sensitivity: 0.8452
Time: 98; Case frequency: 0.04721; Efficiency: 1.00; Sensitivity: 0.8452
Time: 99; Case frequency: 0.05113; Efficiency: 1.00; Sensitivity: 0.8447
Time: 100; Case frequency: 0.05529; Efficiency: 1.00; Sensitivity: 0.8443
Time: 101; Case frequency: 0.05982; Efficiency: 1.00; Sensitivity: 0.8441
Time: 102; Case frequency: 0.06467; Efficiency: 1.00; Sensitivity: 0.8427
Time: 103; Case frequency: 0.06984; Efficiency: 1.00; Sensitivity: 0.8428
Time: 104; Case frequency: 0.07537; Efficiency: 1.00; Sensitivity: 0.8423
Time: 105; Case frequency: 0.08126; Efficiency: 1.00; Sensitivity: 0.8420
Time: 106; Case frequency: 0.08753; Efficiency: 1.00; Sensitivity: 0.8417
Time: 107; Case frequency: 0.09415; Efficiency: 1.00; Sensitivity: 0.8409
Time: 108; Case frequency: 0.10114; Efficiency: 1.00; Sensitivity: 0.8404
Time: 109; Case frequency: 0.10856; Efficiency: 1.00; Sensitivity: 0.8400
Time: 110; Case frequency: 0.11643; Efficiency: 1.00; Sensitivity: 0.8389
Time: 111; Case frequency: 0.12465; Efficiency: 1.00; Sensitivity: 0.8382
Time: 112; Case frequency: 0.13331; Efficiency: 1.00; Sensitivity: 0.8374
Time: 113; Case frequency: 0.14233; Efficiency: 1.00; Sensitivity: 0.8367
Time: 114; Case frequency: 0.15167; Efficiency: 1.00; Sensitivity: 0.8354
Time: 115; Case frequency: 0.16141; Efficiency: 1.00; Sensitivity: 0.8335
Time: 116; Case frequency: 0.17146; Efficiency: 1.00; Sensitivity: 0.8321
Time: 117; Case frequency: 0.18183; Efficiency: 1.00; Sensitivity: 0.8308
Time: 118; Case frequency: 0.19237; Efficiency: 1.00; Sensitivity: 0.8295
Time: 119; Case frequency: 0.20307; Efficiency: 1.00; Sensitivity: 0.8278
Time: 120; Case frequency: 0.21401; Efficiency: 1.00; Sensitivity: 0.8261
Time: 121; Case frequency: 0.22497; Efficiency: 1.00; Sensitivity: 0.8244
Time: 122; Case frequency: 0.23599; Efficiency: 1.00; Sensitivity: 0.8222
Time: 123; Case frequency: 0.24688; Efficiency: 1.00; Sensitivity: 0.8199
Time: 124; Case frequency: 0.25763; Efficiency: 1.00; Sensitivity: 0.8174
Time: 125; Case frequency: 0.26819; Efficiency: 1.00; Sensitivity: 0.8148
Time: 126; Case frequency: 0.27847; Efficiency: 1.00; Sensitivity: 0.8118
Time: 127; Case frequency: 0.28821; Efficiency: 1.00; Sensitivity: 0.8088
Time: 128; Case frequency: 0.29743; Efficiency: 1.00; Sensitivity: 0.8056
Time: 129; Case frequency: 0.30606; Efficiency: 1.00; Sensitivity: 0.8023
Time: 130; Case frequency: 0.31410; Efficiency: 1.00; Sensitivity: 0.7984
Time: 131; Case frequency: 0.32132; Efficiency: 1.00; Sensitivity: 0.7947
Time: 132; Case frequency: 0.32770; Efficiency: 1.00; Sensitivity: 0.7906
Time: 133; Case frequency: 0.33313; Efficiency: 1.00; Sensitivity: 0.7864
Time: 134; Case frequency: 0.33765; Efficiency: 1.00; Sensitivity: 0.7817
Time: 135; Case frequency: 0.34114; Efficiency: 1.00; Sensitivity: 0.7768
Time: 136; Case frequency: 0.34357; Efficiency: 1.00; Sensitivity: 0.7719
Time: 137; Case frequency: 0.34486; Efficiency: 1.00; Sensitivity: 0.7666
Time: 138; Case frequency: 0.34514; Efficiency: 1.00; Sensitivity: 0.7612
Time: 139; Case frequency: 0.34423; Efficiency: 1.00; Sensitivity: 0.7557
Time: 140; Case frequency: 0.34232; Efficiency: 1.00; Sensitivity: 0.7499
Time: 141; Case frequency: 0.33939; Efficiency: 1.00; Sensitivity: 0.7441
Time: 142; Case frequency: 0.33554; Efficiency: 1.00; Sensitivity: 0.7378
Time: 143; Case frequency: 0.33056; Efficiency: 1.00; Sensitivity: 0.7320
Time: 144; Case frequency: 0.32470; Efficiency: 1.00; Sensitivity: 0.7257
Time: 145; Case frequency: 0.31806; Efficiency: 1.00; Sensitivity: 0.7197
Time: 146; Case frequency: 0.31058; Efficiency: 1.00; Sensitivity: 0.7136
Time: 147; Case frequency: 0.30252; Efficiency: 1.00; Sensitivity: 0.7073
Time: 148; Case frequency: 0.29378; Efficiency: 1.00; Sensitivity: 0.7013
Time: 149; Case frequency: 0.28456; Efficiency: 1.00; Sensitivity: 0.6951
Time: 150; Case frequency: 0.27492; Efficiency: 1.00; Sensitivity: 0.6891
Time: 151; Case frequency: 0.26490; Efficiency: 1.00; Sensitivity: 0.6833
Time: 152; Case frequency: 0.25459; Efficiency: 1.00; Sensitivity: 0.6775
Time: 153; Case frequency: 0.24411; Efficiency: 1.00; Sensitivity: 0.6716
Time: 154; Case frequency: 0.23356; Efficiency: 1.00; Sensitivity: 0.6661
Time: 155; Case frequency: 0.22299; Efficiency: 1.00; Sensitivity: 0.6610
Time: 156; Case frequency: 0.21242; Efficiency: 1.00; Sensitivity: 0.6561
Time: 157; Case frequency: 0.20194; Efficiency: 1.00; Sensitivity: 0.6512
Time: 158; Case frequency: 0.19162; Efficiency: 1.00; Sensitivity: 0.6464
Time: 159; Case frequency: 0.18157; Efficiency: 1.00; Sensitivity: 0.6420
Time: 160; Case frequency: 0.17177; Efficiency: 1.00; Sensitivity: 0.6376
Time: 161; Case frequency: 0.16219; Efficiency: 1.00; Sensitivity: 0.6339
Time: 162; Case frequency: 0.15289; Efficiency: 1.00; Sensitivity: 0.6309
Time: 163; Case frequency: 0.14394; Efficiency: 1.00; Sensitivity: 0.6275
Time: 164; Case frequency: 0.13534; Efficiency: 1.00; Sensitivity: 0.6249
Time: 165; Case frequency: 0.12712; Efficiency: 1.00; Sensitivity: 0.6219
Time: 166; Case frequency: 0.11924; Efficiency: 1.00; Sensitivity: 0.6191
Time: 167; Case frequency: 0.11179; Efficiency: 1.00; Sensitivity: 0.6160
Time: 168; Case frequency: 0.10465; Efficiency: 1.00; Sensitivity: 0.6143
Time: 169; Case frequency: 0.09791; Efficiency: 1.00; Sensitivity: 0.6128
Time: 170; Case frequency: 0.09154; Efficiency: 1.00; Sensitivity: 0.6111
Time: 171; Case frequency: 0.08555; Efficiency: 1.00; Sensitivity: 0.6098
Time: 172; Case frequency: 0.07983; Efficiency: 1.00; Sensitivity: 0.6082
Time: 173; Case frequency: 0.07454; Efficiency: 1.00; Sensitivity: 0.6065
Time: 174; Case frequency: 0.06952; Efficiency: 1.00; Sensitivity: 0.6048
Time: 175; Case frequency: 0.06484; Efficiency: 1.00; Sensitivity: 0.6034
Time: 176; Case frequency: 0.06043; Efficiency: 1.00; Sensitivity: 0.6021
Time: 177; Case frequency: 0.05627; Efficiency: 1.00; Sensitivity: 0.6011
Time: 178; Case frequency: 0.05243; Efficiency: 1.00; Sensitivity: 0.6004
Time: 179; Case frequency: 0.04882; Efficiency: 1.00; Sensitivity: 0.6006
Time: 180; Case frequency: 0.04543; Efficiency: 1.00; Sensitivity: 0.6003
