Sample budget,Test budget,Design samples,Design pools,Design sample split,Design runs per day,Design method,Design effectiveness
384,48,384,40,2,0.954145,array_16x24,262.155978
384,48,192,20,2,1.910867,hypergraph,265.639275
384,96,96,96,1,1.000000,individual,81.417289
384,96,96,20,2,3.999063,array_8x12,286.649177
384,96,384,48,6,1.000000,pbest,256.132808
384,96,384,40,2,1.000000,array_16x24,274.911298
384,96,384,64,1,0.993585,hypergraph,296.884538
384,192,192,192,1,1.000000,individual,162.834577
384,192,96,20,2,4.000000,array_8x12,286.716609
384,192,384,48,6,1.000000,pbest,256.132808
384,192,384,40,2,1.000000,array_16x24,274.911298
384,192,384,128,1,1.000000,hypergraph,310.225503
384,384,384,384,1,1.000000,individual,325.669155
384,384,96,20,2,4.000000,array_8x12,286.716609
384,384,384,48,6,1.000000,pbest,256.132808
384,384,384,40,2,1.000000,array_16x24,274.911298
384,384,400,200,1,0.960000,hypergraph,316.276236
384,768,384,384,1,1.000000,individual,325.669155
384,768,96,20,2,4.000000,array_8x12,286.716609
384,768,384,48,6,1.000000,pbest,256.132808
384,768,384,40,2,1.000000,array_16x24,274.911298
384,768,400,200,1,0.960000,hypergraph,316.276236
384,1536,384,384,1,1.000000,individual,325.669155
384,1536,96,20,2,4.000000,array_8x12,286.716609
384,1536,384,48,6,1.000000,pbest,256.132808
384,1536,384,40,2,1.000000,array_16x24,274.911298
384,1536,400,200,1,0.960000,hypergraph,316.276236
384,3072,384,384,1,1.000000,individual,325.669155
384,3072,96,20,2,4.000000,array_8x12,286.716609
384,3072,384,48,6,1.000000,pbest,256.132808
384,3072,384,40,2,1.000000,array_16x24,274.911298
384,3072,400,200,1,0.960000,hypergraph,316.276236
384,6144,384,384,1,1.000000,individual,325.669155
384,6144,96,20,2,4.000000,array_8x12,286.716609
384,6144,384,48,6,1.000000,pbest,256.132808
384,6144,384,40,2,1.000000,array_16x24,274.911298
384,6144,400,200,1,0.960000,hypergraph,316.276236
768,12,12,12,1,1.000000,individual,10.177161
768,12,192,6,2,0.949795,hypergraph,122.185209
768,24,24,24,1,1.000000,individual,20.354322
768,24,96,20,2,1.157369,array_8x12,82.957397
768,24,400,12,3,1.118056,hypergraph,288.600421
768,48,48,48,1,1.000000,individual,40.708644
768,48,96,20,2,2.314739,array_8x12,165.914794
768,48,384,48,6,1.000000,pbest,256.132808
768,48,384,40,2,1.068798,array_16x24,293.588287
768,48,384,22,2,1.588780,hypergraph,426.124919
768,96,96,96,1,1.000000,individual,81.417289
768,96,96,20,2,4.629477,array_8x12,331.829589
768,96,384,48,6,2.000000,pbest,512.265616
768,96,384,40,2,1.908290,array_16x24,524.311956
768,96,192,20,2,3.821735,hypergraph,531.278549
768,192,192,192,1,1.000000,individual,162.834577
768,192,96,20,2,7.998125,array_8x12,573.298355
768,192,384,48,6,2.000000,pbest,512.265616
768,192,384,40,2,2.000000,array_16x24,549.822595
768,192,384,64,1,1.987169,hypergraph,593.769077
768,384,384,384,1,1.000000,individual,325.669155
768,384,96,20,2,8.000000,array_8x12,573.433218
768,384,384,48,6,2.000000,pbest,512.265616
768,384,384,40,2,2.000000,array_16x24,549.822595
768,384,384,128,1,2.000000,hypergraph,620.451007
768,768,768,768,1,1.000000,individual,651.338310
768,768,96,20,2,8.000000,array_8x12,573.433218
768,768,384,48,6,2.000000,pbest,512.265616
768,768,384,40,2,2.000000,array_16x24,549.822595
768,768,400,200,1,1.920000,hypergraph,632.552472
768,1536,768,768,1,1.000000,individual,651.338310
768,1536,96,20,2,8.000000,array_8x12,573.433218
768,1536,384,48,6,2.000000,pbest,512.265616
768,1536,384,40,2,2.000000,array_16x24,549.822595
768,1536,400,200,1,1.920000,hypergraph,632.552472
768,3072,768,768,1,1.000000,individual,651.338310
768,3072,96,20,2,8.000000,array_8x12,573.433218
768,3072,384,48,6,2.000000,pbest,512.265616
768,3072,384,40,2,2.000000,array_16x24,549.822595
768,3072,400,200,1,1.920000,hypergraph,632.552472
768,6144,768,768,1,1.000000,individual,651.338310
768,6144,96,20,2,8.000000,array_8x12,573.433218
768,6144,384,48,6,2.000000,pbest,512.265616
768,6144,384,40,2,2.000000,array_16x24,549.822595
768,6144,400,200,1,1.920000,hypergraph,632.552472
1536,12,12,12,1,1.000000,individual,10.177161
1536,12,192,6,2,0.949795,hypergraph,122.185209
1536,24,24,24,1,1.000000,individual,20.354322
1536,24,96,20,2,1.157369,array_8x12,82.957397
1536,24,400,12,3,1.119934,hypergraph,289.088637
1536,48,48,48,1,1.000000,individual,40.708644
1536,48,96,20,2,2.314739,array_8x12,165.914794
1536,48,384,48,6,1.000000,pbest,256.132808
1536,48,384,40,2,1.068798,array_16x24,293.588287
1536,48,768,24,3,1.222200,hypergraph,605.840414
1536,96,96,96,1,1.000000,individual,81.417289
1536,96,96,20,2,4.629477,array_8x12,331.829589
1536,96,384,48,6,2.000000,pbest,512.265616
1536,96,384,40,2,2.137595,array_16x24,587.176575
1536,96,768,48,3,1.635822,hypergraph,855.843252
1536,192,192,192,1,1.000000,individual,162.834577
1536,192,96,20,2,9.258954,array_8x12,663.659178
1536,192,384,48,6,4.000000,pbest,1024.531231
1536,192,384,40,2,3.816579,array_16x24,1048.623913
1536,192,192,20,2,7.643470,hypergraph,1062.557099
1536,384,384,384,1,1.000000,individual,325.669155
1536,384,96,20,2,15.996250,array_8x12,1146.596709
1536,384,384,48,6,4.000000,pbest,1024.531231
1536,384,384,40,2,4.000000,array_16x24,1099.645191
1536,384,384,64,1,3.974338,hypergraph,1187.538153
1536,768,768,768,1,1.000000,individual,651.338310
1536,768,96,20,2,16.000000,array_8x12,1146.866437
1536,768,384,48,6,4.000000,pbest,1024.531231
1536,768,384,40,2,4.000000,array_16x24,1099.645191
1536,768,384,128,1,4.000000,hypergraph,1240.902014
1536,1536,1536,1536,1,1.000000,individual,1302.676619
1536,1536,96,20,2,16.000000,array_8x12,1146.866437
1536,1536,384,48,6,4.000000,pbest,1024.531231
1536,1536,384,40,2,4.000000,array_16x24,1099.645191
1536,1536,400,200,1,3.840000,hypergraph,1265.104945
1536,3072,1536,1536,1,1.000000,individual,1302.676619
1536,3072,96,20,2,16.000000,array_8x12,1146.866437
1536,3072,384,48,6,4.000000,pbest,1024.531231
1536,3072,384,40,2,4.000000,array_16x24,1099.645191
1536,3072,400,200,1,3.840000,hypergraph,1265.104945
1536,6144,1536,1536,1,1.000000,individual,1302.676619
1536,6144,96,20,2,16.000000,array_8x12,1146.866437
1536,6144,384,48,6,4.000000,pbest,1024.531231
1536,6144,384,40,2,4.000000,array_16x24,1099.645191
1536,6144,400,200,1,3.840000,hypergraph,1265.104945
3072,12,12,12,1,1.000000,individual,10.177161
3072,12,192,6,2,0.949795,hypergraph,122.185209
3072,24,24,24,1,1.000000,individual,20.354322
3072,24,96,20,2,1.157369,array_8x12,82.957397
3072,24,400,12,3,1.119934,hypergraph,289.088637
3072,48,48,48,1,1.000000,individual,40.708644
3072,48,96,20,2,2.314739,array_8x12,165.914794
