viral_load_matrix	../simulation/Simulated_populations/seir_viral_loads_swab.viral_loads.npz
savepath	designs/individual
start_time	0
end_time	356
LOD	4.0
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
Time: 73; Case frequency: 0.00577; Efficiency: 1.00; Sensitivity: 0.9515
Time: 74; Case frequency: 0.00630; Efficiency: 1.00; Sensitivity: 0.9509
Time: 75; Case frequency: 0.00687; Efficiency: 1.00; Sensitivity: 0.9509
Time: 76; Case frequency: 0.00748; Efficiency: 1.00; Sensitivity: 0.9522
Time: 77; Case frequency: 0.00814; Efficiency: 1.00; Sensitivity: 0.9516
Time: 78; Case frequency: 0.00889; Efficiency: 1.00; Sensitivity: 0.9503
Time: 79; Case frequency: 0.00969; Efficiency: 1.00; Sensitivity: 0.9521
Time: 80; Case frequency: 0.01056; Efficiency: 1.00; Sensitivity: 0.9523
Time: 81; Case frequency: 0.01149; Efficiency: 1.00; Sensitivity: 0.9520
Time: 82; Case frequency: 0.01250; Efficiency: 1.00; Sensitivity: 0.9520
Time: 83; Case frequency: 0.01362; Efficiency: 1.00; Sensitivity: 0.9523
Time: 84; Case frequency: 0.01484; Efficiency: 1.00; Sensitivity: 0.9521
Time: 85; Case frequency: 0.01615; Efficiency: 1.00; Sensitivity: 0.9511
Time: 86; Case frequency: 0.01759; Efficiency: 1.00; Sensitivity: 0.9513
Time: 87; Case frequency: 0.01912; Efficiency: 1.00; Sensitivity: 0.9517
Time: 88; Case frequency: 0.02080; Efficiency: 1.00; Sensitivity: 0.9524
Time: 89; Case frequency: 0.02262; Efficiency: 1.00; Sensitivity: 0.9527
Time: 90; Case frequency: 0.02459; Efficiency: 1.00; Sensitivity: 0.9523
Time: 91; Case frequency: 0.02670; Efficiency: 1.00; Sensitivity: 0.9519
Time: 92; Case frequency: 0.02900; Efficiency: 1.00; Sensitivity: 0.9517
Time: 93; Case frequency: 0.03150; Efficiency: 1.00; Sensitivity: 0.9514
Time: 94; Case frequency: 0.03418; Efficiency: 1.00; Sensitivity: 0.9516
Time: 95; Case frequency: 0.03707; Efficiency: 1.00; Sensitivity: 0.9521
Time: 96; Case frequency: 0.04024; Efficiency: 1.00; Sensitivity: 0.9518
Time: 97; Case frequency: 0.04361; Efficiency: 1.00; Sensitivity: 0.9513
Time: 98; Case frequency: 0.04721; Efficiency: 1.00; Sensitivity: 0.9514
Time: 99; Case frequency: 0.05113; Efficiency: 1.00; Sensitivity: 0.9509
Time: 100; Case frequency: 0.05529; Efficiency: 1.00; Sensitivity: 0.9508
Time: 101; Case frequency: 0.05982; Efficiency: 1.00; Sensitivity: 0.9507
Time: 102; Case frequency: 0.06467; Efficiency: 1.00; Sensitivity: 0.9506
Time: 103; Case frequency: 0.06984; Efficiency: 1.00; Sensitivity: 0.9509
Time: 104; Case frequency: 0.07537; Efficiency: 1.00; Sensitivity: 0.9506
Time: 105; Case frequency: 0.08126; Efficiency: 1.00; Sensitivity: 0.9499
Time: 106; Case frequency: 0.08753; Efficiency: 1.00; Sensitivity: 0.9500
Time: 107; Case frequency: 0.09415; Efficiency: 1.00; Sensitivity: 0.9495
Time: 108; Case frequency: 0.10114; Efficiency: 1.00; Sensitivity: 0.9496
Time: 109; Case frequency: 0.10856; Efficiency: 1.00; Sensitivity: 0.9494
Time: 110; Case frequency: 0.11643; Efficiency: 1.00; Sensitivity: 0.9491
Time: 111; Case frequency: 0.12465; Efficiency: 1.00; Sensitivity: 0.9491
Time: 112; Case frequency: 0.13331; Efficiency: 1.00; Sensitivity: 0.9484
Time: 113; Case frequency: 0.14233; Efficiency: 1.00; Sensitivity: 0.9482
Time: 114; Case frequency: 0.15167; Efficiency: 1.00; Sensitivity: 0.9480
Time: 115; Case frequency: 0.16141; Efficiency: 1.00; Sensitivity: 0.9474
Time: 116; Case frequency: 0.17146; Efficiency: 1.00; Sensitivity: 0.9470
Time: 117; Case frequency: 0.18183; Efficiency: 1.00; Sensitivity: 0.9464
Time: 118; Case frequency: 0.19237; Efficiency: 1.00; Sensitivity: 0.9459
Time: 119; Case frequency: 0.20307; Efficiency: 1.00; Sensitivity: 0.9453
Time: 120; Case frequency: 0.21401; Efficiency: 1.00; Sensitivity: 0.9448
Time: 121; Case frequency: 0.22497; Efficiency: 1.00; Sensitivity: 0.9442
Time: 122; Case frequency: 0.23599; Efficiency: 1.00; Sensitivity: 0.9432
Time: 123; Case frequency: 0.24688; Efficiency: 1.00; Sensitivity: 0.9425
Time: 124; Case frequency: 0.25763; Efficiency: 1.00; Sensitivity: 0.9417
Time: 125; Case frequency: 0.26819; Efficiency: 1.00; Sensitivity: 0.9407
Time: 126; Case frequency: 0.27847; Efficiency: 1.00; Sensitivity: 0.9396
Time: 127; Case frequency: 0.28821; Efficiency: 1.00; Sensitivity: 0.9385
Time: 128; Case frequency: 0.29743; Efficiency: 1.00; Sensitivity: 0.9373
Time: 129; Case frequency: 0.30606; Efficiency: 1.00; Sensitivity: 0.9362
Time: 130; Case frequency: 0.31410; Efficiency: 1.00; Sensitivity: 0.9348
Time: 131; Case frequency: 0.32132; Efficiency: 1.00; Sensitivity: 0.9334
Time: 132; Case frequency: 0.32770; Efficiency: 1.00; Sensitivity: 0.9318
Time: 133; Case frequency: 0.33313; Efficiency: 1.00; Sensitivity: 0.9303
Time: 134; Case frequency: 0.33765; Efficiency: 1.00; Sensitivity: 0.9285
Time: 135; Case frequency: 0.34114; Efficiency: 1.00; Sensitivity: 0.9266
Time: 136; Case frequency: 0.34357; Efficiency: 1.00; Sensitivity: 0.9246
Time: 137; Case frequency: 0.34486; Efficiency: 1.00; Sensitivity: 0.9226
Time: 138; Case frequency: 0.34514; Efficiency: 1.00; Sensitivity: 0.9204
Time: 139; Case frequency: 0.34423; Efficiency: 1.00; Sensitivity: 0.9182
Time: 140; Case frequency: 0.34232; Efficiency: 1.00; Sensitivity: 0.9160
Time: 141; Case frequency: 0.33939; Efficiency: 1.00; Sensitivity: 0.9136
Time: 142; Case frequency: 0.33554; Efficiency: 1.00; Sensitivity: 0.9109
Time: 143; Case frequency: 0.33056; Efficiency: 1.00; Sensitivity: 0.9084
Time: 144; Case frequency: 0.32470; Efficiency: 1.00; Sensitivity: 0.9059
Time: 145; Case frequency: 0.31806; Efficiency: 1.00; Sensitivity: 0.9032
Time: 146; Case frequency: 0.31058; Efficiency: 1.00; Sensitivity: 0.9007
Time: 147; Case frequency: 0.30252; Efficiency: 1.00; Sensitivity: 0.8979
Time: 148; Case frequency: 0.29378; Efficiency: 1.00; Sensitivity: 0.8953
Time: 149; Case frequency: 0.28456; Efficiency: 1.00; Sensitivity: 0.8924
Time: 150; Case frequency: 0.27492; Efficiency: 1.00; Sensitivity: 0.8897
Time: 151; Case frequency: 0.26490; Efficiency: 1.00; Sensitivity: 0.8870
Time: 152; Case frequency: 0.25459; Efficiency: 1.00; Sensitivity: 0.8843
Time: 153; Case frequency: 0.24411; Efficiency: 1.00; Sensitivity: 0.8819
Time: 154; Case frequency: 0.23356; Efficiency: 1.00; Sensitivity: 0.8794
Time: 155; Case frequency: 0.22299; Efficiency: 1.00; Sensitivity: 0.8761
Time: 156; Case frequency: 0.21242; Efficiency: 1.00; Sensitivity: 0.8735
